<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSRS.US,D,20251230,000000,25.08,25.49,25.02,25.1032,29382,0
TSRS.US,D,20251231,000000,25.34,25.4,24.925,25.0049,23655,0
TSRS.US,D,20260102,000000,24.818,25.24,24.76,25.0073,23620,0
TSRS.US,D,20260105,000000,25.02,25.28,24.8564,25.0366,10377,0
TSRS.US,D,20260106,000000,25,25.14,24.92,25.1295,18115,0
TSRS.US,D,20260107,000000,25.315,25.35,25,25.1,28599,0
TSRS.US,D,20260108,000000,25.11,25.45,25.002,25.43,17975,0
TSRS.US,D,20260109,000000,25.45,25.45,25.208,25.21,15203,0
