<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GXLC.US,D,20250925,000000,79.5094,79.51,79.41,79.4477,40600,0
GXLC.US,D,20250930,000000,80.09,80.4483,80.09,80.4483,287,0
GXLC.US,D,20251001,000000,80.38,80.7197,80.38,80.7197,122,0
GXLC.US,D,20251008,000000,81.1,81.2398,81.1,81.2398,115,0
GXLC.US,D,20251216,000000,81.86,81.8686,81.86,81.8686,200,0
GXLC.US,D,20251217,000000,80.95,80.95,80.8213,80.8213,1001,0
GXLC.US,D,20251222,000000,82.7248,82.75,82.7248,82.74,415,0
GXLC.US,D,20251231,000000,82.31,82.31,82.1789,82.1789,255,0
