<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBOG.US,D,20251205,000000,25.8594,25.8594,25.5829,25.5829,106,0
PBOG.US,D,20251218,000000,24.7,24.7,24.5149,24.5149,2868,0
PBOG.US,D,20251223,000000,25.01,25.0827,25.0099,25.0827,200,0
PBOG.US,D,20260102,000000,25.64,25.85,25.64,25.7664,54559,0
PBOG.US,D,20260105,000000,26.06,26.06,25.46,25.8271,44770,0
PBOG.US,D,20260106,000000,25.7176,25.7176,25.22,25.255,55938,0
PBOG.US,D,20260107,000000,24.83,24.88,24.7466,24.7466,59437,0
PBOG.US,D,20260108,000000,24.9,25.35,24.89,25.3016,53771,0
PBOG.US,D,20260109,000000,25.45,25.54,25.43,25.48,55291,0
